Project	Revision(prev)	Revision(cur)	Added	Deleted	File
activemq	activemq-5.2.0	activemq-5.3.0	3	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/TopicSubscriptionViewMBean.java
activemq	activemq-5.2.0	activemq-5.3.0	65	38	activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractRegion.java
activemq	activemq-5.2.0	activemq-5.3.0	13	1	activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractSubscription.java
activemq	activemq-5.2.0	activemq-5.3.0	1	1	activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractTempRegion.java
activemq	activemq-5.2.0	activemq-5.3.0	196	70	activemq-core/src/main/java/org/apache/activemq/broker/region/BaseDestination.java
activemq	activemq-5.2.0	activemq-5.3.0	15	1	activemq-core/src/main/java/org/apache/activemq/broker/region/Destination.java
activemq	activemq-5.2.0	activemq-5.3.0	2	0	activemq-core/src/main/java/org/apache/activemq/broker/region/DestinationFactory.java
activemq	activemq-5.2.0	activemq-5.3.0	12	0	activemq-core/src/main/java/org/apache/activemq/broker/region/DestinationFactoryImpl.java
activemq	activemq-5.2.0	activemq-5.3.0	23	7	activemq-core/src/main/java/org/apache/activemq/broker/region/DestinationFilter.java
activemq	activemq-5.2.0	activemq-5.3.0	12	1	activemq-core/src/main/java/org/apache/activemq/broker/region/DestinationStatistics.java
activemq	activemq-5.2.0	activemq-5.3.0	3	1	activemq-core/src/main/java/org/apache/activemq/broker/region/DurableTopicSubscription.java
activemq	activemq-5.2.0	activemq-5.3.0	1	1	activemq-core/src/main/java/org/apache/activemq/broker/region/IndirectMessageReference.java
activemq	activemq-5.2.0	activemq-5.3.0	72	55	activemq-core/src/main/java/org/apache/activemq/broker/region/PrefetchSubscription.java
activemq	activemq-5.2.0	activemq-5.3.0	507	209	activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java
activemq	activemq-5.2.0	activemq-5.3.0	2	5	activemq-core/src/main/java/org/apache/activemq/broker/region/QueueDispatchSelector.java
activemq	activemq-5.2.0	activemq-5.3.0	29	3	activemq-core/src/main/java/org/apache/activemq/broker/region/QueueRegion.java
activemq	activemq-5.2.0	activemq-5.3.0	9	0	activemq-core/src/main/java/org/apache/activemq/broker/region/QueueSubscription.java
activemq	activemq-5.2.0	activemq-5.3.0	52	21	activemq-core/src/main/java/org/apache/activemq/broker/region/RegionBroker.java
activemq	activemq-5.2.0	activemq-5.3.0	4	0	activemq-core/src/main/java/org/apache/activemq/broker/region/Subscription.java
activemq	activemq-5.2.0	activemq-5.3.0	1	22	activemq-core/src/main/java/org/apache/activemq/broker/region/TempQueue.java
activemq	activemq-5.2.0	activemq-5.3.0	13	0	activemq-core/src/main/java/org/apache/activemq/broker/region/TempQueueRegion.java
activemq	activemq-5.2.0	activemq-5.3.0	58	92	activemq-core/src/main/java/org/apache/activemq/broker/region/Topic.java
activemq	activemq-5.2.0	activemq-5.3.0	12	4	activemq-core/src/main/java/org/apache/activemq/broker/region/TopicRegion.java
activemq	activemq-5.2.0	activemq-5.3.0	10	4	activemq-core/src/main/java/org/apache/activemq/broker/region/TopicSubscription.java
activemq	activemq-5.2.0	activemq-5.3.0	25	14	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/AbstractPendingMessageCursor.java
activemq	activemq-5.2.0	activemq-5.3.0	30	30	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/AbstractStoreCursor.java
activemq	activemq-5.2.0	activemq-5.3.0	6	0	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/QueueStorePrefetch.java
activemq	activemq-5.2.0	activemq-5.3.0	38	44	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/StoreDurableSubscriberCursor.java
activemq	activemq-5.2.0	activemq-5.3.0	10	0	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/StoreQueueCursor.java
activemq	activemq-5.2.0	activemq-5.3.0	0	3	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/TopicStorePrefetch.java
activemq	activemq-5.2.0	activemq-5.3.0	2	2	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/VMPendingMessageCursor.java
